Field,ID,Type (类型),default,zh-CN,zh-Hant,en,en-US,fr,ru,ja,de,pt-BR,es,it,nl,cs,uk,sv,id
MobileScreenshotCaption8,257,文本,,,,,,,,,,,,,,,,,
MobileScreenshotCaption9,258,文本,,,,,,,,,,,,,,,,,
MobileScreenshotCaption10,259,文本,,,,,,,,,,,,,,,,,
XboxScreenshot1,300,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
XboxScreenshot2,301,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
XboxScreenshot3,302,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
XboxScreenshot4,303,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
XboxScreenshot5,304,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
XboxScreenshot6,305,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
XboxScreenshot7,306,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
XboxScreenshot8,307,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
XboxScreenshot9,308,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
XboxScreenshot10,309,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
XboxScreenshotCaption1,350,文本,,,,,,,,,,,,,,,,,
XboxScreenshotCaption2,351,文本,,,,,,,,,,,,,,,,,
XboxScreenshotCaption3,352,文本,,,,,,,,,,,,,,,,,
XboxScreenshotCaption4,353,文本,,,,,,,,,,,,,,,,,
XboxScreenshotCaption5,354,文本,,,,,,,,,,,,,,,,,
XboxScreenshotCaption6,355,文本,,,,,,,,,,,,,,,,,
XboxScreenshotCaption7,356,文本,,,,,,,,,,,,,,,,,
XboxScreenshotCaption8,357,文本,,,,,,,,,,,,,,,,,
XboxScreenshotCaption9,358,文本,,,,,,,,,,,,,,,,,
XboxScreenshotCaption10,359,文本,,,,,,,,,,,,,,,,,
HolographicScreenshot1,400,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
HolographicScreenshot2,401,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
HolographicScreenshot3,402,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
HolographicScreenshot4,403,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
HolographicScreenshot5,404,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
HolographicScreenshot6,405,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
HolographicScreenshot7,406,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
HolographicScreenshot8,407,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
HolographicScreenshot9,408,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
HolographicScreenshot10,409,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
HolographicScreenshotCaption1,450,文本,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption2,451,文本,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption3,452,文本,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption4,453,文本,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption5,454,文本,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption6,455,文本,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption7,456,文本,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption8,457,文本,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption9,458,文本,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption10,459,文本,,,,,,,,,,,,,,,,,
StoreLogo720x1080,600,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
StoreLogo1080x1080,601,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
StoreLogo300x300,602,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
OverrideLogosForWin10,603,True/False,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
StoreLogoOverride150x150,604,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
StoreLogoOverride71x71,605,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
PromoImage1920x1080,606,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
PromoImage2400x1200,607,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
XboxBrandedKeyArt584x800,608,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
XboxTitledHero1920x1080,609,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
XboxFeaturedPromo1080x1080,610,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
OptionalPromo358x358,611,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
OptionalPromo1000x800,612,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
OptionalPromo414x180,613,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
Feature1,700,文本,,使用简单，仅需在设置页面中选择音乐文件夹即可使用！,使用簡單，僅需在設定頁面中選擇音樂資料夾即可使用！,Simple to Use. Just set path in the Settings page then you are all set!,Simple to use. Just set path in the settings page then you are all set!,Simple à utiliser : choisissez le dossier de musique dans les paramètres.,Просто в использовании: выберите папку с музыкой в настройках.,使い方は簡単。設定画面で音楽フォルダーを選ぶだけです。,Einfach zu verwenden: Musikordner in den Einstellungen auswählen.,Simple to use. Just set path in the settings page then you are all set!,Fácil de usar: elige la carpeta de música en la configuración.,Semplice da usare: scegli la cartella della musica nelle impostazioni.,Eenvoudig te gebruiken: kies de muziekmap in de instellingen.,Jednoduché použití: v nastavení vyberte složku s hudbou.,Простий у використанні: виберіть папку з музикою в налаштуваннях.,Enkel att använda: välj musikmappen i inställningarna.,Mudah digunakan: pilih folder musik di pengaturan.
Feature2,701,文本,,轻松管理本地音乐,輕鬆管理本機音樂,Easy to manage local music files.,Easy to manage local music files.,Gérez facilement votre musique locale.,Удобное управление локальной музыкой.,ローカル音楽を簡単に管理できます。,Lokale Musik einfach verwalten.,Easy to manage local music files.,Gestiona música local fácilmente.,Gestisci facilmente la musica locale.,Beheer lokale muziek eenvoudig.,Snadná správa místní hudby.,Легке керування локальною музикою.,Hantera lokal musik enkelt.,Kelola musik lokal dengan mudah.
Feature3,702,文本,,适配不同屏幕分辨率,適配不同螢幕解析度,Adaptive to different screen resolutions.,Adaptive to different screen resolutions.,S’adapte à différentes résolutions d’écran.,Адаптируется к разным разрешениям экрана.,さまざまな画面解像度に対応します。,Passt sich verschiedenen Bildschirmauflösungen an.,Adaptive to different screen resolutions.,Se adapta a diferentes resoluciones de pantalla.,Si adatta a diverse risoluzioni dello schermo.,Past zich aan verschillende schermresoluties aan.,Přizpůsobí se různým rozlišením obrazovky.,Адаптується до різних роздільних здатностей екрана.,Anpassar sig till olika skärmupplösningar.,Menyesuaikan dengan berbagai resolusi layar.
Feature4,703,文本,,充满bug！,充滿 bug！,Full of bugs!,Full of bugs!,Plein de bugs !,Полон багов!,バグだらけ！,Voller Bugs!,Full of bugs!,¡Lleno de bugs!,Pieno di bug!,Vol bugs!,Plné chyb!,Повно багів!,Full av buggar!,Penuh bug!
Feature5,704,文本,,,,,,,,,,,,,,,,,
Feature6,705,文本,,,,,,,,,,,,,,,,,
Feature7,706,文本,,,,,,,,,,,,,,,,,
Feature8,707,文本,,,,,,,,,,,,,,,,,
Feature9,708,文本,,,,,,,,,,,,,,,,,
Feature10,709,文本,,,,,,,,,,,,,,,,,
Feature11,710,文本,,,,,,,,,,,,,,,,,
Feature12,711,文本,,,,,,,,,,,,,,,,,
Feature13,712,文本,,,,,,,,,,,,,,,,,
Feature14,713,文本,,,,,,,,,,,,,,,,,
Feature15,714,文本,,,,,,,,,,,,,,,,,
Feature16,715,文本,,,,,,,,,,,,,,,,,
Feature17,716,文本,,,,,,,,,,,,,,,,,
Feature18,717,文本,,,,,,,,,,,,,,,,,
Feature19,718,文本,,,,,,,,,,,,,,,,,
Feature20,719,文本,,,,,,,,,,,,,,,,,
MinimumHardwareReq1,800,文本,,,,,,,,,,,,,,,,,
MinimumHardwareReq2,801,文本,,,,,,,,,,,,,,,,,
MinimumHardwareReq3,802,文本,,,,,,,,,,,,,,,,,
MinimumHardwareReq4,803,文本,,,,,,,,,,,,,,,,,
MinimumHardwareReq5,804,文本,,,,,,,,,,,,,,,,,
MinimumHardwareReq6,805,文本,,,,,,,,,,,,,,,,,
MinimumHardwareReq7,806,文本,,,,,,,,,,,,,,,,,
MinimumHardwareReq8,807,文本,,,,,,,,,,,,,,,,,
MinimumHardwareReq9,808,文本,,,,,,,,,,,,,,,,,
MinimumHardwareReq10,809,文本,,,,,,,,,,,,,,,,,
MinimumHardwareReq11,810,文本,,,,,,,,,,,,,,,,,
RecommendedHardwareReq1,850,文本,,,,,,,,,,,,,,,,,
RecommendedHardwareReq2,851,文本,,,,,,,,,,,,,,,,,
RecommendedHardwareReq3,852,文本,,,,,,,,,,,,,,,,,
RecommendedHardwareReq4,853,文本,,,,,,,,,,,,,,,,,
RecommendedHardwareReq5,854,文本,,,,,,,,,,,,,,,,,
RecommendedHardwareReq6,855,文本,,,,,,,,,,,,,,,,,
RecommendedHardwareReq7,856,文本,,,,,,,,,,,,,,,,,
RecommendedHardwareReq8,857,文本,,,,,,,,,,,,,,,,,
RecommendedHardwareReq9,858,文本,,,,,,,,,,,,,,,,,
RecommendedHardwareReq10,859,文本,,,,,,,,,,,,,,,,,
RecommendedHardwareReq11,860,文本,,,,,,,,,,,,,,,,,
SearchTerm1,900,文本,local music player,本地音乐播放器,本機音樂播放器,local music player,local music player,lecteur musique local,локальный музыкальный плеер,ローカル音楽プレーヤー,lokaler musikplayer,leitor musica local,reproductor musica local,lettore musica locale,lokale muziekspeler,místní hudební přehrávač,локальний музичний плеєр,lokal musikspelare,pemutar musik lokal
SearchTerm2,901,文本,offline music player,离线音乐播放器,離線音樂播放器,offline music player,offline music player,lecteur musique hors ligne,офлайн музыкальный плеер,オフライン音楽プレーヤー,offline musikplayer,leitor musica offline,reproductor musica offline,lettore musica offline,offline muziekspeler,offline hudební přehrávač,офлайн музичний плеєр,offline musikspelare,pemutar musik offline
SearchTerm3,902,文本,mp3 player,mp3播放器,mp3播放器,mp3 player,mp3 player,lecteur mp3,mp3 плеер,mp3プレーヤー,mp3 player,leitor mp3,reproductor mp3,lettore mp3,mp3 speler,mp3 přehrávač,mp3 плеєр,mp3 spelare,pemutar mp3
SearchTerm4,903,文本,audio player,音频播放器,音訊播放器,audio player,audio player,lecteur audio,аудио плеер,オーディオプレーヤー,audio player,leitor audio,reproductor audio,lettore audio,audiospeler,audio přehrávač,аудіо плеєр,ljudspelare,pemutar audio
SearchTerm5,904,文本,music library,音乐库,音樂庫,music library,music library,bibliotheque musicale,музыкальная библиотека,音楽ライブラリ,musikbibliothek,biblioteca musical,biblioteca musical,libreria musicale,muziekbibliotheek,hudební knihovna,музична бібліотека,musikbibliotek,pustaka musik
SearchTerm6,905,文本,lyrics player,歌词播放器,歌詞播放器,lyrics player,lyrics player,lecteur paroles,плеер с текстами,歌詞プレーヤー,liedtext player,leitor letras,reproductor letras,lettore testi,speler songteksten,přehrávač textů,плеєр текстів,sångtextspelare,pemutar lirik
SearchTerm7,906,文本,playlist manager,播放列表管理,播放清單管理,playlist manager,playlist manager,gestionnaire playlists,менеджер плейлистов,プレイリスト管理,playlist manager,gerenciador playlists,gestor playlists,gestore playlist,playlistbeheer,správce playlistů,менеджер плейлистів,spellistehanterare,pengelola playlist
TrailerToPlayAtTopOfListing,999,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
Trailer1,1000,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
Trailer2,1001,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
Trailer3,1002,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
Trailer4,1003,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
Trailer5,1004,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
Trailer6,1005,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
Trailer7,1006,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
Trailer8,1007,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
Trailer9,1008,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
Trailer10,1009,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
Trailer11,1010,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
Trailer12,1011,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
Trailer13,1012,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
Trailer14,1013,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
Trailer15,1014,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
TrailerTitle1,1020,文本,,,,,,,,,,,,,,,,,
TrailerTitle2,1021,文本,,,,,,,,,,,,,,,,,
TrailerTitle3,1022,文本,,,,,,,,,,,,,,,,,
TrailerTitle4,1023,文本,,,,,,,,,,,,,,,,,
TrailerTitle5,1024,文本,,,,,,,,,,,,,,,,,
TrailerTitle6,1025,文本,,,,,,,,,,,,,,,,,
TrailerTitle7,1026,文本,,,,,,,,,,,,,,,,,
TrailerTitle8,1027,文本,,,,,,,,,,,,,,,,,
TrailerTitle9,1028,文本,,,,,,,,,,,,,,,,,
TrailerTitle10,1029,文本,,,,,,,,,,,,,,,,,
TrailerTitle11,1030,文本,,,,,,,,,,,,,,,,,
TrailerTitle12,1031,文本,,,,,,,,,,,,,,,,,
TrailerTitle13,1032,文本,,,,,,,,,,,,,,,,,
TrailerTitle14,1033,文本,,,,,,,,,,,,,,,,,
TrailerTitle15,1034,文本,,,,,,,,,,,,,,,,,
TrailerThumbnail1,1040,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
TrailerThumbnail2,1041,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
TrailerThumbnail3,1042,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
TrailerThumbnail4,1043,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
TrailerThumbnail5,1044,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
TrailerThumbnail6,1045,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
TrailerThumbnail7,1046,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
TrailerThumbnail8,1047,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
TrailerThumbnail9,1048,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
TrailerThumbnail10,1049,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
TrailerThumbnail11,1050,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
TrailerThumbnail12,1051,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
TrailerThumbnail13,1052,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
TrailerThumbnail14,1053,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
TrailerThumbnail15,1054,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
